,index,x,y,z,SegmentationRegionSlice
305,718,-239.53125,-239.53125,-1054.0,AOI
306,344,-239.53125,-239.53125,-1052.5,AOI
307,405,-239.53125,-239.53125,-1051.0,AOI
308,780,-239.53125,-239.53125,-1049.5,AOI
309,726,-239.53125,-239.53125,-1048.0,AOI
310,667,-239.53125,-239.53125,-1046.5,AOI
311,719,-239.53125,-239.53125,-1045.0,AOI
312,552,-239.53125,-239.53125,-1043.5,AOI
313,606,-239.53125,-239.53125,-1042.0,AOI
314,665,-239.53125,-239.53125,-1040.5,AOI
315,611,-239.53125,-239.53125,-1039.0,AOI
316,749,-239.53125,-239.53125,-1037.5,AOI
317,756,-239.53125,-239.53125,-1036.0,AOI
318,378,-239.53125,-239.53125,-1034.5,AOI
319,371,-239.53125,-239.53125,-1033.0,AOI
320,301,-239.53125,-239.53125,-1031.5,AOI
321,306,-239.53125,-239.53125,-1030.0,AOI
322,442,-239.53125,-239.53125,-1028.5,AOI
323,445,-239.53125,-239.53125,-1027.0,AOI
324,515,-239.53125,-239.53125,-1025.5,AOI
325,512,-239.53125,-239.53125,-1024.0,AOI
326,581,-239.53125,-239.53125,-1022.5,AOI
327,578,-239.53125,-239.53125,-1021.0,AOI
328,443,-239.53125,-239.53125,-1019.5,AOI
329,444,-239.53125,-239.53125,-1018.0,AOI
330,516,-239.53125,-239.53125,-1016.5,AOI
331,511,-239.53125,-239.53125,-1015.0,Outside of AOI
332,377,-239.53125,-239.53125,-1013.5,Outside of AOI
333,372,-239.53125,-239.53125,-1012.0,Outside of AOI
334,299,-239.53125,-239.53125,-1010.5,Outside of AOI
335,308,-239.53125,-239.53125,-1009.0,Outside of AOI
336,453,-239.53125,-239.53125,-1007.5,Outside of AOI
337,434,-239.53125,-239.53125,-1006.0,Outside of AOI
338,571,-239.53125,-239.53125,-1004.5,Outside of AOI
339,587,-239.53125,-239.53125,-1003.0,Outside of AOI
340,646,-239.53125,-239.53125,-1001.5,Outside of AOI
341,630,-239.53125,-239.53125,-1000.0,Outside of AOI
342,758,-239.53125,-239.53125,-998.5,Outside of AOI
343,748,-239.53125,-239.53125,-997.0,Outside of AOI
344,688,-239.53125,-239.53125,-995.5,Outside of AOI
345,698,-239.53125,-239.53125,-994.0,Outside of AOI
346,370,-239.53125,-239.53125,-992.5,Outside of AOI
347,379,-239.53125,-239.53125,-991.0,Outside of AOI
348,759,-239.53125,-239.53125,-989.5,Outside of AOI
349,745,-239.53125,-239.53125,-988.0,Outside of AOI
350,691,-239.53125,-239.53125,-986.5,Outside of AOI
351,697,-239.53125,-239.53125,-985.0,Outside of AOI
352,570,-239.53125,-239.53125,-983.5,Outside of AOI
353,590,-239.53125,-239.53125,-982.0,Outside of AOI
354,643,-239.53125,-239.53125,-980.5,Outside of AOI
355,631,-239.53125,-239.53125,-979.0,Outside of AOI
356,687,-239.53125,-239.53125,-977.5,Outside of AOI
357,700,-239.53125,-239.53125,-976.0,Outside of AOI
358,310,-239.53125,-239.53125,-974.5,Outside of AOI
359,296,-239.53125,-239.53125,-973.0,Outside of AOI
360,366,-239.53125,-239.53125,-971.5,Outside of AOI
361,384,-239.53125,-239.53125,-970.0,Outside of AOI
362,508,-239.53125,-239.53125,-968.5,Outside of AOI
363,520,-239.53125,-239.53125,-967.0,Outside of AOI
364,450,-239.53125,-239.53125,-965.5,Outside of AOI
365,436,-239.53125,-239.53125,-964.0,Outside of AOI
366,641,-239.53125,-239.53125,-962.5,Outside of AOI
367,634,-239.53125,-239.53125,-961.0,Outside of AOI
368,505,-239.53125,-239.53125,-959.5,Outside of AOI
369,521,-239.53125,-239.53125,-958.0,Outside of AOI
370,449,-239.53125,-239.53125,-956.5,Outside of AOI
371,439,-239.53125,-239.53125,-955.0,Outside of AOI
372,313,-239.53125,-239.53125,-953.5,Outside of AOI
373,295,-239.53125,-239.53125,-952.0,Outside of AOI
374,368,-239.53125,-239.53125,-950.5,Outside of AOI
375,380,-239.53125,-239.53125,-949.0,Outside of AOI
376,979,-239.53125,-239.53125,-947.5,Outside of AOI
377,994,-239.53125,-239.53125,-946.0,Outside of AOI
